"Código del Producto","Grupo de Productos","Unidad de Medida (UdM) predeterminada","Permitir Inventario Negativo","Nombre del Producto","Mantener Stock","Precio de venta estándar"
"PP022","Polipropileno","Unidad","1","BOLSA ADHESIVA 20 X 29 X 100 UND","1","6200.0"
"VR055","Varios","Unidad","1","BOMBA DESTAQUEADORA","1","44000.0"
"D137","Desechables","Unidad","1","COPA SALSERA CARTON 1.5 OZ CON TAPA X 50 UND","1","20800.0"
"V042-1","Vasos Desechables","Unidad","1","COPA VENECIANA 3 OZ X 10 UND CON TAPA","1","3800.0"
"J007-1","Jabones","Unidad","1","SUPER ROMBO X 3 UND","1","61800.0"
"J028-2","Jabones","Unidad","1","DETERGENTE LAVANDA 20 LITROS","1","121900.0"
"J019-3","Jabones","Unidad","1","JIRAX NEUTRO X 4 LITROS","1","25600.0"
"P028-1","Papelería","Unidad","1","TALONARIO EGRESO EFECTIVO","1","3300.0"
"CI026-4","Varios","Unidad","1","PISTOLA PARA SILICONA BARRA DELGADA","1","9800.0"
"T044-2","Bolsa Transparente","Unidad","1","BOLSA AL VACIO NYLON 20 X 30 X 100UN","1","29200.0"
"T044-1","Bolsa Transparente","Unidad","1","BOLSA AL VACIO NYLON 20 X 35 X 200UN","1","94300.0"
"AP021-2","Aseo Personal","Unidad","1","CEPILLO ORAL B X UNIDAD","1","7500.0"
"AP021-1","Aseo Personal","Unidad","1","CEPILLO ORAL B X 5 UND","1","34500.0"
"UC012","Varios","Unidad","1","ESPONJILLA DE BRILLO SAN JORGE","1","3400.0"
"D085-1","Desechables","Unidad","1","SERVILLETA SEDAMAX X 300 UND","1","4200.0"
"D085","Desechables","Unidad","1","SERVILLETA SEDAMAX 300 CAJA DE 15 PAQUETES","1","0.0"
"J019-2","Jabones","Unidad","1","JIRAX LIQUIDO X 4 LITROS","1","26500.0"
"J017-1","Jabones","Unidad","1","JIRAX LIQUIDO X 500 GRS","1","4100.0"
"UC009-1","Varios","Unidad","1","TOALLA DE MANOS RENDIPEL 450","1","18900.0"
"MP050","Materia Prima","Unidad","1","TUBULAR 31 NEGRO C2.5","1","0.0"
"PM022","Plástico por Metros","Metro","1","TUBULAR 20 BLANCO ALTA DENSIDAD","1","0.0"
"D023-3","Desechables","Unidad","1","BANDEJA #1 X 20 UNIDADES","1","2200.0"
"PP013","Polipropileno","Unidad","1","POLIPROPILENO 12 X 18","1","0.0"
"MP062","Materia Prima","Unidad","1","TUBULAR 24 NEGRO C1.1","1","0.0"
"AP004-4","Aseo Personal","Unidad","1","PRESTOBARBA SCHICK 4 HOJAS HOMBRE X 10 UND","1","43500.0"
"AP004-3","Aseo Personal","Unidad","1","PRESTOBARBA SCHICK 4 HOJAS MUJER X 10 UND","1","43500.0"
"VR027-1","Varios","Unidad","1","STRECH INDUSTRIAL X 15 CM NEGRO","1","12200.0"
"CI026-3","Varios","Unidad","1","SILICONA EN BARRA DELGADA","1","500.0"
"D136-1","Desechables","Unidad","1","PLATO TERMICO BIODEGRADABLE 23 CM X 20 CM","1","6500.0"
"D135-1","Desechables","Unidad","1","PLATO TERMICO BIODEGRADABLE 30 OZ X 20 UND","1","8200.0"
"D136","Desechables","Unidad","1","CAJA PARA ALIMENTOS 26 ONZAS X 50 UND","1","26900.0"
"D135","Desechables","Unidad","1","CAJA PARA ALIMENTOS 45 ONZAS X 50 UND","1","32700.0"
"D134-1","Desechables","Unidad","1","PLATO TERMICO BIODEGRABALE 15.5 CM X 20 UND","1","3200.0"
"VV026","Velas","Unidad","1","VELON 7 POTENCIAS","1","9300.0"
"P024-3","Papelería","Unidad","1","TIJERAS","1","8400.0"
"P024-2","Papelería","Unidad","1","LAPICERO OFFIESCO RETRACTIL 0.7 X CAJA","1","10800.0"
"BA011","Bolsas Basura Negras","Unidad","1","ROLLO PARAFINADO IMPRESO 50 METROS","1","21600.0"
"BA010","Bolsas Basura Negras","Unidad","1","ROLLO PARAFINADO IMPRESO 10 METROS","1","4500.0"
"BA009","Bolsas Basura Negras","Unidad","1","BOLSA DE ALUMINIO 14 X 18 X 100","1","14800.0"
"P125-2","Papelería","Unidad","1","BANDEJA 1 PUESTO NEGRA CON TAPA X 20 UND","1","16200.0"
"PP021","Polipropileno","Unidad","1","BOLSA ADHESIVA 30X40 X 100UND","1","15400.0"
"PP020","Polipropileno","Unidad","1","BOLSA ADHESIVA 25 X 33 X 100 UND","1","11600.0"
"PP019","Polipropileno","Unidad","1","BOLSA ADHESIVA 8 X 12 X 100 UND","1","4600.0"
"N013","Nevera","Unidad","1","NEVERA 1 LITRO","1","0.0"
"N014","Nevera","Unidad","1","NEVERA 7 LITROS","1","18400.0"
"PP018","Polipropileno","Unidad","1","BOLSA ADHESIVA 35 X 45 X 100 UND","1","18800.0"
"PP017","Polipropileno","Unidad","1","BOLSA ADHESIVA 15 X 25 X 100 UND","1","5200.0"
"PP016","Polipropileno","Unidad","1","BOLSA ADHESIVA 12 X 18 X 100 UND","1","5900.0"
"PP015","Polipropileno","Unidad","1","BOLSA ADHESIVA 23 X 33 X 100UND","1","9900.0"
"V047","Vasos Desechables","Unidad","1","VASO 5 OZ TTE X 50","1","2600.0"
"V035-4","Vasos Desechables","Unidad","1","VASO MUNDIAL 12 OZ X 20 UND","1","8000.0"
"D150","Desechables","Unidad","1","TAPA BOWL 750 CC Y 100CC X 50 UND","1","20000.0"
"D149-1","Desechables","Unidad","1","BOWL DE BAMBOO 1000CC X 50 UND","1","31800.0"
"D149","Desechables","Unidad","1","BOWL DE BAMBOO 750CC X 50 UND","1","27200.0"
"V038-3","Vasos Desechables","Unidad","1","VASO 10 OZ ICOPOR X 20","1","4900.0"
"V038-2","Vasos Desechables","Unidad","1","VASO 16 OZ ICOPOR X 20","1","10500.0"
"J012-3","Jabones","Unidad","1","LIMPIAPISOS X 10 LITROS","1","45000.0"
"J026-5","Jabones","Unidad","1","DETERGENTE BEBE 4 LITROS","1","30200.0"
"J028-1","Jabones","Unidad","1","DETERGENTE LAVANDA-BEBE 10 LITROS","1","64500.0"
"D042-3","Desechables","Unidad","1","TAPA PLANA PARA VASO RESQ 9-12-16-20 OZ X 50 UND","1","9900.0"
"VR045-1","Varios","Unidad","1","CUCHILLA REPUESTO BISTURI X 10 UND","1","2000.0"
